ant                                Ant Plugin                                      497.v94e7d9fffa_b_9
antisamy-markup-formatter          OWASP Markup Formatter Plugin                   162.v0e6ec0fcfcf6
apache-httpcomponents-client-4-api Apache HttpComponents Client 4.x API Plugin     4.5.14-208.v438351942757
apache-httpcomponents-client-5-api Apache HttpComponents Client 5.x API Plugin     5.3.1-110.v77252fb_d4da_5
asm-api                            ASM API Plugin                                  9.7-33.v4d23ef79fcc8
authentication-tokens              Authentication Tokens API Plugin                1.113.v81215a_241826
bootstrap5-api                     Bootstrap 5 API Plugin                          5.3.3-1
bouncycastle-api                   bouncycastle API Plugin                         2.30.1.78.1-233.vfdcdeb_0a_08a_a_
branch-api                         Branch API Plugin                               2.1169.va_f810c56e895
build-timeout                      Build Timeout                                   1.33
caffeine-api                       Caffeine API Plugin                             3.1.8-133.v17b_1ff2e0599
checks-api                         Checks API plugin                               2.2.0
cloud-stats                        Cloud Statistics Plugin                         336.v788e4055508b_
cloudbees-folder                   Folders Plugin                                  6.928.v7c780211d66e
command-launcher                   Command Agent Launcher Plugin                   107.v773860566e2e
commons-lang3-api                  commons-lang3 v3.x Jenkins API Plugin           3.14.0-76.vda_5591261cfe
commons-text-api                   commons-text API Plugin                         1.12.0-119.v73ef73f2345d
config-file-provider               Config File Provider Plugin                     973.vb_a_80ecb_9a_4d0
credentials-binding                Credentials Binding Plugin                      681.vf91669a_32e45
credentials                        Credentials Plugin                              1355.v46f52a_b_98d64
dark-theme                         Dark Theme                                      439.vdef09f81f85e
display-url-api                    Display URL API                                 2.204.vf6fddd8a_8b_e9
docker-build-step                  docker-build-step                               2.12
docker-commons                     Docker Commons Plugin                           439.va_3cb_0a_6a_fb_29
docker-compose-build-step          Docker Compose Build Step Plugin                1.0
docker-java-api                    Docker API Plugin                               3.3.6-90.ve7c5c7535ddd
docker-plugin                      Docker plugin                                   1.6.2
docker-workflow                    Docker Pipeline                                 580.vc0c340686b_54
durable-task                       Durable Task Plugin                             555.v6802fe0f0b_82
echarts-api                        ECharts API Plugin                              5.5.0-1
eddsa-api                          EDDSA API Plugin                                0.3.0-4.v84c6f0f4969e
email-ext                          Email Extension Plugin                          1814.v404722f34263
font-awesome-api                   Font Awesome API Plugin                         6.5.2-1
git-client                         Git client plugin                               5.0.0
git                                Git plugin                                      5.2.2
github-api                         GitHub API Plugin                               1.318-461.v7a_c09c9fa_d63
